distribution,alpha,kmax,R0_target,R0_measured,beta_ma,beta_cm,final_EBMA,peak_EBMA,tpeak_EBMA,final_Static,peak_Static,tpeak_Static
"Power law α=2.0, kmax=30",2.0,30,1.1,1.1000000000000003,0.14648286146708095,0.20334931392071276,0.030203314308263264,0.0007231355754528778,80.27200680017,0.0317675393634231,0.0009162284046439189,68.68171704292608
"Power law α=2.0, kmax=30",2.0,30,1.11,1.11,0.14781452384405439,0.20557798169758654,0.0330442095831219,0.0008662465837339269,74.68186704667617,0.034754913693251614,0.001099590699086373,63.751593789844755
"Power law α=2.0, kmax=30",2.0,30,1.12,1.12,0.14914618622102785,0.20781492001759963,0.03585624395891388,0.001020711058969958,69.89174729368234,0.037711886546126484,0.0012980341119968666,59.53148828720718
"Power law α=2.0, kmax=30",2.0,30,1.13,1.13,0.15047784859800128,0.2100601750040724,0.038640106939181594,0.0011861835610549425,65.73164329108228,0.04063922762168067,0.0015111875286787889,55.861396534913375
"Power law α=2.0, kmax=30",2.0,30,1.14,1.1400000000000001,0.15180951097497478,0.212313793123926,0.041396470286758746,0.0013623295243985062,62.07155178879473,0.04353768698401421,0.001738690872121404,52.651316282907075
"Power law α=2.0, kmax=30",2.0,30,1.15,1.15,0.1531411733519482,0.21457582119088783,0.0441259935999602,0.0015488238883305805,58.84147103677592,0.04640799347797228,0.001980192302382066,49.80124503112578
"Power law α=2.0, kmax=30",2.0,30,1.16,1.16,0.15447283572892168,0.21684630636873278,0.0468293133474461,0.0017453524076068948,55.951398784969626,0.04925085413363105,0.0022353495776247095,47.26118152953824
"Power law α=2.0, kmax=30",2.0,30,1.17,1.17,0.15580449810589514,0.2191252961745616,0.04950704994591806,0.001951610035272909,53.361334033350836,0.05206695413004163,0.0025038294783509447,44.981124528113206
"Power law α=2.0, kmax=30",2.0,30,1.18,1.1800000000000002,0.15713616048286863,0.2214128384821155,0.052159802093886876,0.002167301990166938,51.0212755318883,0.05485695708118374,0.0027853077228388937,42.931073276831924
"Power law α=2.0, kmax=30",2.0,30,1.19,1.19,0.15846782285984207,0.2237089815251285,0.054788153050565766,0.0023921436162407557,48.89122228055702,0.057621505507993345,0.003079467826148357,41.061026525663145
"Power law α=2.0, kmax=30",2.0,30,1.2,1.2,0.15979948523681553,0.22601377390071767,0.05739266758471821,0.0026258562508885766,46.941173529338236,0.0603612214160208,0.0033860029338065173,39.35098377459437
"Power law α=2.0, kmax=30",2.0,30,1.21,1.21,0.161131147613789,0.22832726457281138,0.05997389095618279,0.002868171287228126,45.16112902822571,0.06307670692972862,0.0037046121995971404,37.780944523613094
"Power law α=2.0, kmax=30",2.0,30,1.22,1.2200000000000002,0.16246280999076249,0.23064950287561703,0.06253235280863151,0.00311882710870939,43.52108802720068,0.06576854495319959,0.004035004339030306,36.34090852271307
"Power law α=2.0, kmax=30",2.0,30,1.23,1.23,0.16379447236773592,0.23298053851712755,0.06506856583203231,0.0033775717607291873,42.01105027625691,0.06843729983831105,0.0043768951246243165,35.0108752718818
"Power law α=2.0, kmax=30",2.0,30,1.24,1.24,0.16512613474470939,0.2353204215826685,0.06758302665500651,0.0036441599372696518,40.60101502537564,0.07108351804837525,0.0047300071344891365,33.78084452111303
