time,I,R,mean_kI,model,alpha,R0_target
101.01275318829707,6.761578297265203e-09,0.15210027785515756,7.312719520264143e-06,DSMA,2.5,1.6
101.0502625656414,6.643461614164181e-09,0.15210027797327302,7.379236331912422e-06,DSMA,2.5,1.6
101.08777194298574,6.495256915650671e-09,0.1521002781214764,7.474456130230145e-06,DSMA,2.5,1.6
101.12528132033009,6.317320555560002e-09,0.15210027829941097,7.642818300846768e-06,DSMA,2.5,1.6
101.16279069767442,6.110095041034214e-09,0.15210027850663416,7.947701917537186e-06,DSMA,2.5,1.6
101.20030007501876,5.874108643943998e-09,0.15210027874261745,8.271909327828582e-06,DSMA,2.5,1.6
101.2378094523631,5.609976566622876e-09,0.15210027900674641,8.671251855903602e-06,DSMA,2.5,1.6
101.27531882970743,5.318398582643269e-09,0.15210027929832062,9.317393435258984e-06,DSMA,2.5,1.6
101.31282820705177,5.00016136828485e-09,0.15210027961655384,9.950501088867914e-06,DSMA,2.5,1.6
101.3503375843961,4.65613664291098e-09,0.1521002799605738,1.082645137970573e-05,DSMA,2.5,1.6
101.38784696174044,4.287282973081119e-09,0.15210028032942235,1.1986100860706672e-05,DSMA,2.5,1.6
101.42535633908477,3.894644662327806e-09,0.15210028072205545,1.3472755916044788e-05,DSMA,2.5,1.6
101.4628657164291,3.4793513625785977e-09,0.15210028113734309,1.5525960601492042e-05,DSMA,2.5,1.6
101.50037509377344,3.042619017845638e-09,0.15210028157406932,1.8240884216391476e-05,DSMA,2.5,1.6
101.53788447111778,2.585749697692208e-09,0.15210028203093232,2.204401018951607e-05,DSMA,2.5,1.6
101.57539384846211,2.110131153143513e-09,0.1521002825065443,2.7706620798515213e-05,DSMA,2.5,1.6
101.61290322580645,1.6172366779088065e-09,0.15210028299943157,3.673141490666923e-05,DSMA,2.5,1.6
101.65041260315078,1.1086271067828335e-09,0.15210028350803448,5.55509148926665e-05,DSMA,2.5,1.6
101.68792198049512,5.859466245539124e-10,0.15210028403070752,0.0001078761479279702,DSMA,2.5,1.6
101.72543135783945,5.092720689603425e-11,0.15210028456571917,,DSMA,2.5,1.6
101.76294073518379,-4.946137943662166e-10,0.15210028511125206,,DSMA,2.5,1.6
101.80045011252813,-1.0487724577679103e-09,0.15210028566540285,,DSMA,2.5,1.6
101.83795948987247,-1.6095596799825529e-09,0.1521002862261823,,DSMA,2.5,1.6
101.87546886721681,-2.174900676221725e-09,0.1521002867915152,,DSMA,2.5,1.6
101.91297824456115,-2.742634286345691e-09,0.15210028735924047,,DSMA,2.5,1.6
101.95048762190548,-3.3105131413968536e-09,0.1521002879271111,,DSMA,2.5,1.6
101.98799699924982,-3.876204357489144e-09,0.1521002884927941,,DSMA,2.5,1.6
102.02550637659415,-4.437288425584995e-09,0.15210028905387063,,DSMA,2.5,1.6
102.06301575393849,-4.991261876030606e-09,0.15210028960783586,,DSMA,2.5,1.6
102.10052513128282,-5.535532948686139e-09,0.15210029015209905,,DSMA,2.5,1.6
102.13803450862716,-6.0674250068615265e-09,0.15210029068398356,,DSMA,2.5,1.6
102.17554388597149,-6.5841758156715e-09,0.15210029120072682,,DSMA,2.5,1.6
102.21305326331583,-7.082936986924082e-09,0.15210029169948033,,DSMA,2.5,1.6
102.25056264066016,-7.560772619097378e-09,0.15210029217730964,,DSMA,2.5,1.6
102.2880720180045,-8.014664043543007e-09,0.1521002926311944,,DSMA,2.5,1.6
102.32558139534883,-8.441504301126557e-09,0.15210029305802833,,DSMA,2.5,1.6
102.36309077269317,-8.838100501451507e-09,0.1521002934546192,,DSMA,2.5,1.6
102.4006001500375,-9.201175321660315e-09,0.15210029381768891,,DSMA,2.5,1.6
102.43810952738184,-9.527364258632431e-09,0.1521002941438734,,DSMA,2.5,1.6
102.47561890472618,-9.813217544119013e-09,0.1521002944297227,,DSMA,2.5,1.6
102.51312828207051,-1.0055198951253175e-08,0.1521002946717009,,DSMA,2.5,1.6
102.55063765941486,-1.0249686627217258e-08,0.15210029486618612,,DSMA,2.5,1.6
102.5881470367592,-1.0392973037731679e-08,0.15210029500947064,,DSMA,2.5,1.6
102.62565641410353,-1.0481263829076326e-08,0.15210029509776077,,DSMA,2.5,1.6
102.66316579144787,-1.0510679965269887e-08,0.1521002951271769,,DSMA,2.5,1.6
102.7006751687922,-1.0477255341090341e-08,0.1521002950937535,,DSMA,2.5,1.6
102.73818454613654,-1.0376939418854647e-08,0.15210029499343913,,DSMA,2.5,1.6
102.77569392348087,-1.020559342590488e-08,0.15210029482209636,,DSMA,2.5,1.6
102.81320330082521,-9.958994878767058e-09,0.15210029457550192,,DSMA,2.5,1.6
102.85071267816954,-9.632917769009097e-09,0.1521002942494307,,DSMA,2.5,1.6
102.88822205551388,-9.248749488488528e-09,0.1521002938652682,,DSMA,2.5,1.6
102.92573143285821,-8.828151515372085e-09,0.15210029344467754,,DSMA,2.5,1.6
102.96324081020255,-8.374834742364001e-09,0.15210029299136854,,DSMA,2.5,1.6
103.00075018754688,-7.892409809029388e-09,0.15210029250895093,,DSMA,2.5,1.6
103.03825956489122,-7.384384798081456e-09,0.15210029200093436,,DSMA,2.5,1.6
103.07576894223556,-6.854170453429731e-09,0.15210029147072857,,DSMA,2.5,1.6
103.11327831957989,-6.3050757392879575e-09,0.15210029092164318,,DSMA,2.5,1.6
103.15078769692423,-5.740311587176805e-09,0.1521002903568878,,DSMA,2.5,1.6
103.18829707426856,-5.162986538298497e-09,0.15210028977957207,,DSMA,2.5,1.6
103.2258064516129,-4.576110351761642e-09,0.15210028919270555,,DSMA,2.5,1.6
103.26331582895723,-3.982593171913962e-09,0.1521002885991978,,DSMA,2.5,1.6
103.30082520630158,-3.3852440295412123e-09,0.15210028800185832,,DSMA,2.5,1.6
103.33833458364592,-2.7867730345576547e-09,0.15210028740339665,,DSMA,2.5,1.6
103.37584396099025,-2.1897887669819482e-09,0.15210028680642226,,DSMA,2.5,1.6
103.41335333833459,-1.5968015243394973e-09,0.15210028621344457,,DSMA,2.5,1.6
103.45086271567892,-1.0102206848827677e-09,0.15210028562687306,,DSMA,2.5,1.6
103.48837209302326,-4.3235548474740426e-10,0.15210028504901707,,DSMA,2.5,1.6
103.5258814703676,1.3458467673643781e-10,0.152100284482086,0.00025566929735385967,DSMA,2.5,1.6
103.56339084771193,6.884902370440926e-10,0.15210028392818922,4.491881881422111e-05,DSMA,2.5,1.6
103.60090022505626,1.2273521921013497e-09,0.15210028338933604,2.271861817068028e-05,DSMA,2.5,1.6
103.6384096024006,1.749261013817005e-09,0.15210028286743577,1.4304690605846036e-05,DSMA,2.5,1.6
103.67591897974494,2.2524071219276465e-09,0.15210028236429765,9.625098550213488e-06,DSMA,2.5,1.6
103.71342835708927,2.7350816056426197e-09,0.15210028188163094,6.90696075985429e-06,DSMA,2.5,1.6
103.7509377344336,3.1956749746431257e-09,0.1521002814210449,5.291945926699034e-06,DSMA,2.5,1.6
103.78844711177794,3.63267849134985e-09,0.1521002809840487,3.831717152861031e-06,DSMA,2.5,1.6
103.82595648912228,4.04468222803267e-09,0.15210028057205152,2.67529109005691e-06,DSMA,2.5,1.6
103.86346586646661,4.430377786857065e-09,0.1521002801863625,1.8603521563083197e-06,DSMA,2.5,1.6
103.90097524381095,4.788555052481769e-09,0.1521002798281908,1.4243379453503874e-06,DSMA,2.5,1.6
103.93848462115528,5.118105939061479e-09,0.15210027949864546,8.345257553847044e-07,DSMA,2.5,1.6
103.97599399849962,5.418020809777602e-09,0.1521002791987356,4.1037564935141946e-07,DSMA,2.5,1.6
104.01350337584397,5.687390614017573e-09,0.15210027892937023,1.7428693529547803e-07,DSMA,2.5,1.6
104.0510127531883,5.925406110218745e-09,0.1521002786913584,-1.248424914675701e-07,DSMA,2.5,1.6
104.08852213053264,6.13135894833583e-09,0.1521002784854091,-4.5209889180306604e-07,DSMA,2.5,1.6
104.12603150787697,6.30463986572849e-09,0.1521002783121313,-5.453616813965593e-07,DSMA,2.5,1.6
104.16354088522131,6.444739575339753e-09,0.15210027817203392,-6.592967306415945e-07,DSMA,2.5,1.6
104.20105026256564,6.551249126518499e-09,0.15210027806552592,-8.347414511419561e-07,DSMA,2.5,1.6
104.23855963990998,6.623860626664424e-09,0.1521002779929162,-1.0072833666162814e-06,DSMA,2.5,1.6
104.27606901725431,6.662364215870298e-09,0.1521002779544136,-9.31947613963806e-07,DSMA,2.5,1.6
104.31357839459865,6.666651175546434e-09,0.15210027795012698,-1.0879756792860866e-06,DSMA,2.5,1.6
104.35108777194299,6.636712457375182e-09,0.15210027798006515,-1.1888092200760684e-06,DSMA,2.5,1.6
104.38859714928732,6.572640015578557e-09,0.15210027804413692,-1.1397781667240326e-06,DSMA,2.5,1.6
104.42610652663166,6.474624558716613e-09,0.15210027814215105,-1.1442290601050977e-06,DSMA,2.5,1.6
104.46361590397599,6.342957770133495e-09,0.15210027827381628,-1.08004748324221e-06,DSMA,2.5,1.6
104.50112528132033,6.178030476089447e-09,0.15210027843874135,-1.002489098413273e-06,DSMA,2.5,1.6
104.53863465866466,5.980334227828621e-09,0.15210027863643494,-9.431950492917633e-07,DSMA,2.5,1.6
104.576144036009,5.750460135844904e-09,0.1521002788663057,-8.923065580348049e-07,DSMA,2.5,1.6
104.61365341335333,5.489099536015729e-09,0.1521002791276623,-7.328253116583551e-07,DSMA,2.5,1.6
104.65116279069767,5.197044378180138e-09,0.15210027941971335,-5.098902415241267e-07,DSMA,2.5,1.6
104.688672168042,4.875184950181577e-09,0.15210027974156745,-2.650010608455576e-07,DSMA,2.5,1.6
104.72618154538635,4.524514374271149e-09,0.15210028009223314,-8.570175356308134e-08,DSMA,2.5,1.6
104.76369092273069,4.1461231670147924e-09,0.15210028047061902,4.386529180100624e-07,DSMA,2.5,1.6
104.80120030007502,3.741202431184476e-09,0.15210028087553354,9.614881697858011e-07,DSMA,2.5,1.6
104.83870967741936,3.3110446329143173e-09,0.15210028130568523,1.596409747249387e-06,DSMA,2.5,1.6
104.8762190547637,2.857040548587264e-09,0.15210028175968254,2.504707770915618e-06,DSMA,2.5,1.6
104.91372843210803,2.3806816240590223e-09,0.15210028223603392,3.927417884270783e-06,DSMA,2.5,1.6
104.95123780945237,1.883560529769568e-09,0.1521002827331478,6.4204792746241385e-06,DSMA,2.5,1.6
104.9887471867967,1.367368135385405e-09,0.15210028324933253,1.0297114415655329e-05,DSMA,2.5,1.6
105.02625656414104,8.338961465792494e-10,0.15210028378279652,1.962646087721464e-05,DSMA,2.5,1.6
105.06376594148537,2.850363556294866e-10,0.1521002843316481,6.675468874095552e-05,DSMA,2.5,1.6
105.1012753188297,-2.7722010798036933e-10,0.15210028489389557,,DSMA,2.5,1.6
105.13878469617404,-8.507798632262364e-10,0.15210028546744722,,DSMA,2.5,1.6
105.17629407351838,-1.4334535225479783e-09,0.15210028605011133,,DSMA,2.5,1.6
105.21380345086271,-2.0229469765986607e-09,0.15210028663959613,,DSMA,2.5,1.6
105.25131282820705,-2.616869332339178e-09,0.15210028723350982,,DSMA,2.5,1.6
105.28882220555138,-3.212729027257666e-09,0.15210028782936064,,DSMA,2.5,1.6
105.32633158289572,-3.807934190191986e-09,0.1521002884245567,,DSMA,2.5,1.6
105.36384096024005,-4.399792502551847e-09,0.15210028901640613,,DSMA,2.5,1.6
105.40135033758439,-4.985512253030677e-09,0.1521002896021171,,DSMA,2.5,1.6
105.43885971492872,-5.562201588205085e-09,0.15210029017879767,,DSMA,2.5,1.6
105.47636909227307,-6.126868346001402e-09,0.15210029074345588,,DSMA,2.5,1.6
105.51387846961741,-6.676420805096228e-09,0.1521002912929998,,DSMA,2.5,1.6
105.55138784696175,-7.2076662138709224e-09,0.15210029182423743,,DSMA,2.5,1.6
105.58889722430608,-7.717313288413408e-09,0.15210029233387673,,DSMA,2.5,1.6
105.62640660165042,-8.201969825538669e-09,0.15210029281852572,,DSMA,2.5,1.6
105.66391597899475,-8.65814328565584e-09,0.1521002932746923,,DSMA,2.5,1.6
105.70142535633909,-9.082241791968926e-09,0.15210029369878436,,DSMA,2.5,1.6
105.73893473368342,-9.470572825964751e-09,0.15210029408710984,,DSMA,2.5,1.6
105.77644411102776,-9.819344753969617e-09,0.15210029443587655,,DSMA,2.5,1.6
105.81395348837209,-1.012466555039282e-08,0.15210029474119235,,DSMA,2.5,1.6
105.85146286571643,-1.0382541715259208e-08,0.15210029499906508,,DSMA,2.5,1.6
105.88897224306076,-1.0588881993456312e-08,0.15210029520540247,,DSMA,2.5,1.6
105.9264816204051,-1.0739494266109872e-08,0.1521002953560123,,DSMA,2.5,1.6
105.96399099774943,-1.08300857171173e-08,0.1521002954466023,,DSMA,2.5,1.6
106.00150037509377,-1.0856263693570511e-08,0.15210029547278017,,DSMA,2.5,1.6
106.0390097524381,-1.081353639964533e-08,0.15210029543005366,,DSMA,2.5,1.6
106.07651912978244,-1.0697310981466757e-08,0.15210029531383035,,DSMA,2.5,1.6
106.11402850712678,-1.0502895192443518e-08,0.1521002951194179,,DSMA,2.5,1.6
106.15153788447111,-1.0225497226734603e-08,0.15210029484202392,,DSMA,2.5,1.6
106.18904726181546,-9.864614625154644e-09,0.1521002944811472,,DSMA,2.5,1.6
106.2265566391598,-9.461691596879263e-09,0.15210029407823072,,DSMA,2.5,1.6
106.26406601650413,-9.030772935014753e-09,0.15210029364731883,,DSMA,2.5,1.6
106.30157539384847,-8.575096105412072e-09,0.1521002931916491,,DSMA,2.5,1.6
106.3390847711928,-8.097806258877682e-09,0.15210029271436648,,DSMA,2.5,1.6
106.37659414853714,-7.601955259728399e-09,0.15210029221852325,,DSMA,2.5,1.6
106.41410352588147,-7.0905030180590245e-09,0.15210029170707912,,DSMA,2.5,1.6
106.45161290322581,-6.5663166570750775e-09,0.1521002911829012,,DSMA,2.5,1.6
106.48912228057014,-6.032171318004487e-09,0.15210029064876396,,DSMA,2.5,1.6
106.52663165791448,-5.490748050673844e-09,0.15210029010734924,,DSMA,2.5,1.6
106.56414103525881,-4.944636311510209e-09,0.15210028956124627,,DSMA,2.5,1.6
106.60165041260315,-4.3963334361851736e-09,0.15210028901295172,,DSMA,2.5,1.6
106.63915978994748,-3.848242391413237e-09,0.15210028846486956,,DSMA,2.5,1.6
106.67666916729182,-3.302675827265844e-09,0.1521002879193112,,DSMA,2.5,1.6
106.71417854463616,-2.7618514975014108e-09,0.15210028737849543,,DSMA,2.5,1.6
106.75168792198049,-2.2278964506572407e-09,0.15210028684454838,,DSMA,2.5,1.6
106.78919729932483,-1.7028431442689396e-09,0.15210028631950362,,DSMA,2.5,1.6
106.82670667666916,-1.1886333028954255e-09,0.1521002858053021,,DSMA,2.5,1.6
106.8642160540135,-6.871155311394261e-10,0.1521002853037921,,DSMA,2.5,1.6
106.90172543135785,-2.0004556344765945e-10,0.15210028481672935,,DSMA,2.5,1.6
106.93923480870218,2.709145130452839e-10,0.15210028434577694,3.627655152763034e-05,DSMA,2.5,1.6
106.97674418604652,7.241934552038032e-10,0.15210028389250532,8.920236403672101e-06,DSMA,2.5,1.6
107.01425356339085,1.1583128622927319e-09,0.15210028345839235,4.214815398277799e-06,DSMA,2.5,1.6
107.05176294073519,1.5718886192672699e-09,0.15210028304482326,1.417187374440905e-06,DSMA,2.5,1.6
107.08927231807952,1.963627510592758e-09,0.1521002826530907,-9.882334430809921e-09,DSMA,2.5,1.6
107.12678169542386,2.3323293296684255e-09,0.15210028228439465,-1.042830692277116e-06,DSMA,2.5,1.6
107.1642910727682,2.676886545760482e-09,0.15210028193984254,-1.3611412997343913e-06,DSMA,2.5,1.6
107.20180045011253,2.996285303202839e-09,0.1521002816204491,-1.7755456451340661e-06,DSMA,2.5,1.6
107.23930982745686,3.2896020907280388e-09,0.15210028132713654,-2.1228328529401307e-06,DSMA,2.5,1.6
107.2768192048012,3.5560088207375884e-09,0.15210028106073437,-2.527262488133314e-06,DSMA,2.5,1.6
107.31432858214554,3.794767416964717e-09,0.15210028082197954,-2.5430979400110982e-06,DSMA,2.5,1.6
107.35183795948987,4.00523383903284e-09,0.15210028061151634,-2.81783089793026e-06,DSMA,2.5,1.6
107.3893473368342,4.186856777943504e-09,0.1521002804298965,-2.865452985029382e-06,DSMA,2.5,1.6
107.42685671417854,4.339176379319909e-09,0.15210028027757913,-2.9125041590879707e-06,DSMA,2.5,1.6
107.46436609152288,4.461827102231197e-09,0.15210028015493063,-3.09584194990215e-06,DSMA,2.5,1.6
107.50187546886721,4.554534277501077e-09,0.1521002800622249,-3.2025488409865587e-06,DSMA,2.5,1.6
107.53938484621155,4.617116661220777e-09,0.15210027999964318,-3.2093516890321535e-06,DSMA,2.5,1.6
107.57689422355588,4.649486351482324e-09,0.15210027996727404,-3.2215595858492564e-06,DSMA,2.5,1.6
107.61440360090022,4.651646845488244e-09,0.15210027996511355,-3.1985018820871836e-06,DSMA,2.5,1.6
107.65191297824457,4.623695093464164e-09,0.15210027999306508,-3.2604864544612164e-06,DSMA,2.5,1.6
107.6894223555889,4.565820221902328e-09,0.1521002800509394,-3.384919443476128e-06,DSMA,2.5,1.6
107.72693173293324,4.478303949895235e-09,0.15210028013845467,-3.291569567021794e-06,DSMA,2.5,1.6
107.76444111027757,4.3615203948466075e-09,0.15210028025523645,-3.3778821098037857e-06,DSMA,2.5,1.6
107.80195048762191,4.215937182694418e-09,0.15210028040081766,-3.2507557554499214e-06,DSMA,2.5,1.6
107.83945986496624,4.042113338487141e-09,0.15210028057463862,-3.175696125185102e-06,DSMA,2.5,1.6
107.87696924231058,3.840702200719193e-09,0.15210028077604698,-2.9434279259475762e-06,DSMA,2.5,1.6
107.91447861965491,3.612447396772467e-09,0.1521002810042979,-3.1075605767625827e-06,DSMA,2.5,1.6
107.95198799699925,3.3581878111643704e-09,0.15210028125855382,-2.814455364858955e-06,DSMA,2.5,1.6
107.98949737434359,3.078852506277485e-09,0.15210028153788457,-2.69630545203278e-06,DSMA,2.5,1.6
108.02700675168792,2.7754653575406962e-09,0.1521002818412674,-2.452473139294479e-06,DSMA,2.5,1.6
108.06451612903226,2.4491405015147905e-09,0.15210028216758692,-1.916858028281323e-06,DSMA,2.5,1.6
108.10202550637659,2.101087026584736e-09,0.15210028251563518,-1.6403393504768279e-06,DSMA,2.5,1.6
108.13953488372093,1.7326051426902467e-09,0.1521002828841115,-9.90738995299962e-07,DSMA,2.5,1.6
108.17704426106526,1.3450879299270468e-09,0.15210028327162273,-1.2158941595513872e-07,DSMA,2.5,1.6
108.2145536384096,9.400218103916558e-10,0.15210028367668296,2.112019501953101e-06,DSMA,2.5,1.6
108.25206301575393,5.18984327735339e-10,0.15210028409771378,7.72927175956895e-06,DSMA,2.5,1.6
108.28957239309827,8.364745007760632e-11,0.1521002845330441,,DSMA,2.5,1.6
108.3270817704426,-3.642253720848032e-10,0.15210028498091027,,DSMA,2.5,1.6
108.36459114778695,-8.22778234432775e-10,0.15210028543945592,,DSMA,2.5,1.6
108.40210052513129,-1.2900615853350672e-09,0.15210028590673216,,DSMA,2.5,1.6
108.43960990247562,-1.7640337801605455e-09,0.15210028638069747,,DSMA,2.5,1.6
108.47711927981996,-2.2425616641452706e-09,0.1521002868592177,,DSMA,2.5,1.6
108.5146286571643,-2.723417158456698e-09,0.1521002873400661,,DSMA,2.5,1.6
108.55213803450863,-3.2042819508859566e-09,0.15210028782092322,,DSMA,2.5,1.6
108.58964741185297,-3.6827429716890236e-09,0.15210028829937713,,DSMA,2.5,1.6
108.6271567891973,-4.15629691774555e-09,0.1521002887729232,,DSMA,2.5,1.6
108.66466616654164,-4.6223443683768295e-09,0.1521002892389642,,DSMA,2.5,1.6
108.70217554388597,-5.0781975569069715e-09,0.1521002896948103,,DSMA,2.5,1.6
108.7396849212303,-5.521073404013421e-09,0.15210029013767903,,DSMA,2.5,1.6
108.77719429857464,-5.9480960157287655e-09,0.15210029056469532,,DSMA,2.5,1.6
108.81470367591898,-6.356298265508542e-09,0.15210029097289146,,DSMA,2.5,1.6
108.85221305326331,-6.7426202121634304e-09,0.1521002913592072,,DSMA,2.5,1.6
108.88972243060765,-7.10390835045871e-09,0.15210029172048956,,DSMA,2.5,1.6
108.92723180795198,-7.436916610314981e-09,0.15210029205349304,,DSMA,2.5,1.6
108.96474118529632,-7.738307133964284e-09,0.15210029235487946,,DSMA,2.5,1.6
109.00225056264065,-8.004650220438947e-09,0.1521002926212181,,DSMA,2.5,1.6
109.03975993998499,-8.232421327969419e-09,0.15210029284898555,,DSMA,2.5,1.6
109.07726931732934,-8.41800437689777e-09,0.15210029303456582,,DSMA,2.5,1.6
109.11477869467367,-8.55769072272139e-09,0.15210029317425028,,DSMA,2.5,1.6
109.15228807201801,-8.647679378137596e-09,0.1521002932642377,,DSMA,2.5,1.6
109.18979744936235,-8.68407704079921e-09,0.15210029330063427,,DSMA,2.5,1.6
109.22730682670668,-8.662895401023718e-09,0.1521002932794535,,DSMA,2.5,1.6
109.26481620405102,-8.58005688719743e-09,0.15210029319661633,,DSMA,2.5,1.6
109.30232558139535,-8.431389530993982e-09,0.15210029304795109,,DSMA,2.5,1.6
109.33983495873969,-8.212628743731187e-09,0.1521002928291934,,DSMA,2.5,1.6
109.37734433608402,-7.923317196789625e-09,0.15210029253988663,,DSMA,2.5,1.6
109.41485371342836,-7.599587958928566e-09,0.15210029221616228,,DSMA,2.5,1.6
109.45236309077269,-7.2533929140750075e-09,0.1521002918699728,,DSMA,2.5,1.6
109.48987246811703,-6.887331815974562e-09,0.15210029150391757,,DSMA,2.5,1.6
109.52738184546136,-6.503929728118862e-09,0.1521002911205217,,DSMA,2.5,1.6
109.5648912228057,-6.105637995190705e-09,0.15210029072223585,,DSMA,2.5,1.6
109.60240060015003,-5.694832272418182e-09,0.15210029031143635,,DSMA,2.5,1.6
109.63990997749437,-5.273814079886918e-09,0.15210028989042515,,DSMA,2.5,1.6
109.6774193548387,-4.844812245829999e-09,0.15210028946142976,,DSMA,2.5,1.6
109.71492873218304,-4.409979187380841e-09,0.15210028902660336,,DSMA,2.5,1.6
109.75243810952738,-3.971393713886329e-09,0.15210028858802477,,DSMA,2.5,1.6
109.78994748687171,-3.5310605550620267e-09,0.15210028814769838,,DSMA,2.5,1.6
109.82745686421606,-3.0909093617914607e-09,0.1521002877075543,,DSMA,2.5,1.6
109.8649662415604,-2.6527967600387115e-09,0.15210028726944813,,DSMA,2.5,1.6
109.90247561890473,-2.2185030479349166e-09,0.1521002868351612,,DSMA,2.5,1.6
109.93998499624907,-1.7897354709361935e-09,0.1521002864064004,,DSMA,2.5,1.6
109.9774943735934,-1.3681268895560095e-09,0.15210028598479824,,DSMA,2.5,1.6
110.01500375093774,-9.55235002209065e-10,0.1521002855719129,,DSMA,2.5,1.6
110.05251312828207,-5.525439550346789e-10,0.1521002851692282,,DSMA,2.5,1.6
110.09002250562641,-1.614635924962471e-10,0.1521002847781535,,DSMA,2.5,1.6
110.12753188297074,2.1667220795329456e-10,0.1521002844000238,9.145792949260091e-06,DSMA,2.5,1.6
